complaint_what_happened,Topic_Name
"OXXXX XXXX paid JP Morgan Chase {$1200.00} for mortgage payment I. XXXX, Oh. Due to mistakes by XXXX the check was declined. <P/>On XXXX went back to Chase and asked if they were going to resubmit the check for payment. The woman at the XXXX XXXX, Oh Chase called the home finance department and they said they would not resubmit the check. Since they were not going to resubmit I wrote another check and gave it to the lady in the bank. <P/>On X/X/17 I went back to Chase and talked to customer service in XXXX, Oh and the woman at the bank called the home finance department to find out both checks had been cashed. Home finance advised that a refund check for the second payment would be sent via XXXX or XXXX overnight. <P/>XXXXWhen it was not received X/X/17 or X/X/17 after 5 calls to Chase customer service, the issue was not resolved. I was told that the check was shipped but would not supply a tracking number. <P/>It 's X/X/17 and we have not received the refund check from Chase.",Deposits & Checks
"I lost my credit card ( a Chase Sapphire Reserve ) between the late night of XX/XX/2020 to the early morning of XX/XX/2020. I made one purchase during that time at XXXX XXXX XXXX with the amount of {$19.00}. I called Chase as soon as I found out my card was lost, which is on XX/XX/2020, and also realized that a fraud charge of {$43.00} at XXXX XXXX XXXX XXXX was posted to my account on XX/XX/2020. So, I informed Chase that it was unauthorized and they helped me to take that off my statement. 
However, I received a letter in early XXXX that I am responsible for the transaction. According to the single sheet letter that Chase sent me, "" I received benefit from this transaction ''. There are no proofs that I was using the card for that transaction and they do not even bother to ask the store for a signed copy of the receipt or things like security surveillance that can prove who was using the card. I have disputed other transactions before, but other agents took it seriously and sent me stuffs like signed receipts to back up the claim. 
I called Chase again on XX/XX/2020, a nice lady picked up the phone and said will pass my concern to the fraud department and let them re-investigate. However, two weeks passed and no responses were heard. 
I am so disappointed how Chase is treating one of their loyal customers and taking money from the good guys instead of the frauds.",Fraud Claims
"In 2005, I went to XXXX XXXX XXXX. They directed me to Bank One JP Morgan Chase for private student loans. JP Morgan Chase approved, over the course of three years, XXXX {$30000.00} loans for a total of {$90000.00} to a borrower with stated income of {$24000.00} per year with a cosigner who also made {$24000.00} per year. The monthly payments for these loans is {$410.00} each, for a total of {$1200.00} per month. My income, after taxes, was around XXXX per month. The debt to income ratio would have been 77 % not including paying for a roof over my head and other necessities. In making a decision for approving a loan, the lender can not assume any other factor other than the stated income of the borrowers. XXXX XXXX XXXX cancelled my program before I could graduate. As a result I, of course, defaulted on the loans. They have been turned over to XXXX XXXX XXXX, a debt collection agency, that took me to court without informing me and got a default judgment in XXXX County, WA for a debt now for over {$150000.00}. I have been terrorized by those debt collectors for ten years. I literally see a psychiatrist for stress and anxiety due to this situation and I can direct you to his contact information if you require proof of that.",Loans
"I applied for and received a Chase Sapphire Preferred credit card. The promotional offer promised a waiver of the {$95.00} annual fee for the first year. On my very first statement, they charged the fee. 

I contacted the company to request the waiver, and included a screen shot of the offer. They replied, "" [ We ] apologize, but we show that the offer applied on your account doesn't have a first year annual fee waiver '' without any other explanation.",Fees & Charges
With Chase a {$620.00} charge ( XXXX 2015 ) was originally disputed due to an obscure merchant name and the monies reapplied to the merchant who uses XXXX account. Chase then send us a our statement which was paid the full amount in XXXX. The merchant is indicating that XXXX is saying they have not been given the money. I have reached out to Chase XXXX times and in each case they say they are showing that the issues lies with XXXX. Regardless it seems they are not interested in solving a customer service issue with their backend payment process as they have been paid and the merchant has not been paid from Chase.,Client Communication
"I have advised Chase on a few occasions that I do not wish to receive any contact from XXXX, every time I speak to them I have a headache. For health reasons, I ca n't have any contact with XXXX. I do not have a good view of this company and I wish there was a thorough investigation of this company. There are numerous complaints against them online with the same complaints about them giving out inconsistent information. I have filed a complaint against them in Illinois due to them collectiong on student loans from XXXX XXXX XXXX ( XXXX does not have own these loans ), they have to proof that they actually own the rights to collect on this debt which they did not provide to them at anytime. My due date was changed from XXXX to the XXXX without me knowing that. The XXXX does not work for me and all of the other loans are due on the XXXX. Why is my due date being changed, I went through this issue before and Chase did correct that issue. I need my date changed to the XXXX.",Loans
"My issues is with JP Morgan Chase. On XX/XX/XXXX there was an automatic deposit made into my personal checking account in the amount of {$640.00}. However, this ACH deposit did not belong to me. After doing my own research of the description provided about the deposit, it was an unemployment payment from Colorado. I live in Indiana though! This ACH transaction was the beginning of all my issues. 
After those funds were deposited into my account, the account was flagged as fraud. Being that these funds were government issued I can understand that happening. But, what happened after and since leaves me in utter dismay of such a company. 
The company CLOSED ( NOT SUSPENDED ) my account. They then WITHDREW ( NOT FROZE ) all the funds in my account. This all took place on XX/XX/XXXX. 
After the company WITHDREW all my funds, there were 3 transactions that I had previously made that posted. This then put my account in the negative of {$180.00}. 
I spoke with the Fraud Department several times over the courseof the next 1.5 weeks, due to being hung up on and customer service reps not knowing how to help me or giving me conflicting information from one person to the next. This was to try and determine how I can resolve any issues and have the money that belonged to me returned. 
It was determined that I needed to provide documents of all my funds that were put into my account dating from XX/XX/XXXX to XX/XX/XXXX. This was to PROVE what amount of the previously WITHDRAWN money truly belonged to me. 
I gathered all necessary documents and had the scanned into my file or the system at my local branch office. 
This process was repeated 2 times because after a month of repeatedly calling to check the progress, I was told these documents never made it to where they needed to be. 
In XXXX I was speaking to a Claims Department representative who informed me that my previous fraud claim against the {$640.00} ( I was told previously I needed to file a Fraud Claim on this transaction in order to show it wasn't mine ) had never been processed. The previous claim was done the month before! So, I filed a new fraud claim against the transaction. This was done on XX/XX/XXXX. I received a letter with in days stating that this claim needed no action and the inquiry was resolved. Yet, no matter who I tried to talk to in any Department no one could tell me how the funds that belonged to me could be released. 
I also had been receiving collection letters and phone calls by this time over the negative balance on my account. But remember, it was only negative because the company WITHDREW all my money. 
So, I would not pay off the account. That money and those funds the Collection Department was seeking was being held by the company already. 
Finally I received help by a banker at my local branch who was acting as a liaison for me. He tried very hard to figure out how to fix this issue, even though he couldn't fix it himself. 
In early XXXX, he was told by a representative in the Claims Department that although I recieved a letter from them stating the inquiry was resolved, that only meant that it was resolved on my end ... that there was nothing else for ME to do. But that THEY had 90 days from the date of inquiry to release any funds belonging to me, as they may need to look into the claim further. ( WHAT! ) OK, so I waited until XXXX XXXX. I never heard from anyone and never received a refund. 
I then went to see that same banker. After being shifted through different departments on the phone with him there, we ended up speaking to the Fraud Department. They then stated that the Claims Department had not made the proper notes transfered into the system to the Fraud Department in order to give them permission to release my money. Their suggestion was to call Claims and tell them that I needed a 3 way call with myself, a Claims Representative, and a Fraud Representative all together in order to clear up any issues and finally get closure on this. 
I tried for 1.5 weeks with no results. The last Claims Department Manager I spoke to was on XX/XX/XXXX. This call ended with him being told by the Fraud Department that I needed to contact the Collections Department and resolve that issue now before they will look into how to release the money still owed to me from XX/XX/XXXX. As I've noted previously, those funds the Collections Department is after is being held by the company themselves. I have no intention on giving them more money! 

At this point I feel that I have done everything asked of me. Called everyone I can and gone in person to speak with whom ever I could about this issue. 
Reporting this claim is the next step at this point.",Fraud Claims
"On XX/XX/XXXX there was a cash withdrawal of {$6000.00} made from my business account. I did not make the withdrawal and it's obviously someone within the bank branch that did. I have emails placing me at my work at that time, the IP address on the emails line up with my work router. Also the handwriting on the withdrawal slip is not mine. 
I attempted to deal with CHASE on this, after over a month of consideration they are declining to pay me. My accountants did not discover this until mid XXXX of XXXX, Chase is saying it was too late to do anything about it. 
I have been a customer there for over 22 years. I have a mortgage and an IRA with them. I have no history of any fraudulent activity with them or any bank.",Customer Service
"On or about XX/XX/XXXX I experienced fraudulent activity on my personal checking account and had to close the account and open a new account. During this time, I had to contact all of my creditors and inform them of the new account information and setup auto-drafts all over again. Chase Bank was one of these creditors. I did not make any changes to my auto-draft with Chase Bank `` Freedom Card '' because it did not have a balance and no amounts were being auto-drafted at the time. Sometime in XXXX, Chase Bank enrolled me in "" paperless statements '' without my consent or permission. I have never opted into paperless statements because in past experiences, the email that I received about my new statement would end up in the "" spam folder '' of my email. In XXXX of XXXX I used my Chase Freedom Card for a series of purchases totaling around {$550.00}. I was under the assumption that the auto-draft was still in place and that a statement would come in the mail, but it never auto-drafted and a statement never came. Sometime in XX/XX/XXXX I received a call from Chase Bank informing me that my credit card account was more than 40 days past due. I immediately made a payment to clear the matter up. I then began investigating how this happened and why. I found out, after speaking with Chase Bank 's Executive Team that my account was enrolled in paperless statements and that my auto-draft had been cancelled by "" CHASE BANK ''. I did not cancel the auto-draft, Chase Bank cancelled it. Not only did they cancel it, but the communication that it had been cancelled was sent via email due to the paperless statements that I was incorrectly enrolled in by Chase Bank. Chase informed me that I signed up for paperless statements, however I did no such thing. I informed Chase Bank of this and they simply ignored it. They also ignored the fact that they cancelled the auto-draft, not me. After completing some research, I found out that Chase Bank incorporates a pop-up window on their website for my credit card account. On this pop-up, you must hit the "" continue '' button. Before hitting the continue button, I noticed that there is a "" check box '' that is already checked before you hit continue. What this means is that Chase Bank is forcing consumers to agree to paperless statements, without the consumer knowing because this "" check box '' is already "" PRE-CHECKED ''. What this means is that the consumer must first look closely to see that the box is already checked and they must "" un-check '' the box before hitting the "" continue '' button. This is a major issue and will likely lead to a Large Class Action Lawsuit against Chase Bank. If I can not get this issue resolved with Chase Bank, I will be the one that initiates this Class Action Lawsuit. After bringing light of all of this to Chase Bank, they continue to refuse to acknowledge this issue and refuse to correct my credit bureau report. I have been utilizing credit since I was XXXX XXXX XXXX and in my 16 years of using credit, I have never paid anything late EVER.",Customer Service
I deposited a check that is actually with chase bank as well. They put a hold on the funds until XX/XX/XXXX. I live paycheck to paycheck and this has not caused a financial hardship for me especially with the coronavirus pandemic were having right now. I would like my funds available now.,Deposits & Checks
